Available Now	Nyní k dispozici
See	Jdi na
2019 Microsoft. All rights reserved.	2019 Microsoft. Všechna práva vyhrazena.
See Also	Viz také
Reference	Odkaz
Concepts	Koncepty
Warning	Varování
Note	Poznámka
Tip	Rada
Tasks	Úlohy
How	Jak
Time sheets	Pracovní výkazy
For more information about how to…	Pro více informací jak
Set Up	Nastavit
For more information, see	Více informací viz
Home	Domovská stránka
Edit list	Upravit pøehled
Time Sheet Admin	Administrátor pracovních výkazù
enter	zadat
resource card	karta zdroje
FastTab	Záložka
check box	zaškrtávací políèko
related link	odpovídající odkaz
type to filter	fitrovat zadáním (NAV 09)
submitted	odesláno
dropped-down list	rozevírací seznam
Manager Time Sheet by Job	Manažer pracovních výkazù po projektech
Manager Time Sheet List	Pøehled manažerù pracovních výkazù
vendors	dodavatel (NAV 09)
required	požadované, potøebné
role center	Centrum rolí
Invoicing	Fakturace
 For more information about how to find specific pages, see	Pro více informací jak najít konkrétní stránky, viz
Pay-to Vendor No.	Èíslo vìøitele
credit memos	dobropisy
Posting Group	Úèto skupina
VAT posting set up	Nastavení úètování DPH
Vendor posting group	Úèto skupina dodavatele
general ledger	hlavní kniha
invoice Disc. Code	kód fakturaèní slevy
Prices Including VAT	ceny vèetnì DPH
LCY	LM
entry	položka, položky
entries	položky
value entries	položky ocenìní
general ledger entries	vìcné položky
item ledger entries	položky zboží
general journal	finanèní deník
Posting Group	Úèto skupina
preview	náhled
non-applied payments	nevyrovnané platby
Receivables	Pohledávky
Reorder point	Bod pøiobjednání
Time bucket	Interval dostupnosti
Inventory	Zásoby
Reordering policy	Zpùsob pøiobjednání
Handling	Zpracování 
Learn about	Seznámení s
Payment Terms	Platební podmínky
Currency	Mìna
Finance Charge Terms	Podmínky penále
Customer Price Group	Cenová skupina zákazníka
Standard Text	Standardní text
Language	Jazyk
Country/Region	Zemì/oblast
Shipment Method	Zpùsob dodávky
Salesperson/Purchaser	Prodejce/nákupèí
Location	Lokace
G/L Account	Finanèní úèet
G/L Entry	Vìcná položka
Customer	Zákazník
Cust. Invoice Disc.	Zák.fakturaèní sleva
Cust. Ledger Entry	Položka zákazníka
Vendor	Dodavatel
Vendor Invoice Disc.	Dod.fakturaèní sleva
Vendor Ledger Entry	Položka dodavatele
Item	Zboží
Item Translation	Pøeklad zboží
Item Ledger Entry	Položka zboží
Sales Header	Prodejní hlavièka
Sales Line	Prodejní øádek
Purchase Header	Nákupní hlavièka
Purchase Line	Nákupní øádek
Rounding Method	Zpùsob zaokrouhlení
Purch. Comment Line	Øádek nákupní poznámky
Sales Comment Line	Øádek prodejní poznámky
G/L Register	Finanèní žurnál
Item Register	Žurnál zboží
Aging Band Buffer	Zásobník pásma splatnosti
Invt. Posting Buffer	Zásobník úètování zásob
Invoice Post. Buffer	Zásobník pro fakturaci
Accounting Period	Úèetní období
User Time Register	Evidence uživatele
Report Selections	Výbìry sestav
Printer Selection	Volba tiskárny
Company Information	Informace o spoleènosti
Gen. Journal Template	Šablona finanèního deníku
Gen. Journal Line	Øádek finanèního deníku
Item Journal Template	Šablona deníku zboží
Item Journal Line	Øádek deníku zboží
Acc. Schedule Name	Název úèetního schéma
Acc. Schedule Line	Øádek úèetního schéma
Exch. Rate Adjmt. Reg.	Žurnál úpravy kurzu
Date Compr. Register	Žurnál komprese
BOM Component	Komponenta kusovníku
User Setup	Nastavení uživatelù
Customer Posting Group	Úèto skupina zákazníka
Vendor Posting Group	Úèto skupina dodavatele
Inventory Posting Group	Úèto skupina zboží
G/L Budget Name	Název fin.rozpoètu
G/L Budget Entry	Položka fin.rozpoètu
Comment Line	Øádek poznámky
General Ledger Setup	Nastavení financí
Item Vendor	Zboží dodavatele
Sales Shipment Header	Hlavièka prodejní dodávky
Sales Shipment Line	Øádek prodejní dodávky
Sales Invoice Header	Hlavièka prodejní faktury
Sales Invoice Line	Øádek prodejní faktury
Sales Cr.Memo Header	Hlavièka prodejního dobropisu
Sales Cr.Memo Line	Øádek prodejního dobropisu
Purch. Rcpt. Header	Hlavièka nákupní pøíjemky
Purch. Rcpt. Line	Øádek nákupní pøíjemky
Purch. Inv. Header	Hlavièka nákupní faktury
Purch. Inv. Line	Øádek nákupní faktury
Purch. Cr. Memo Hdr.	Hlavièka nákupního dobropisu
Purch. Cr. Memo Line	Øádek nákupního dobropisu
Incoming Document	Došlý doklad
Incoming Documents Setup	Nastavení došlých dokladù
Incoming Document Approver	Schvalovatel došlého dokladu
Acc. Sched. KPI Web Srv. Setup	Nastavení webové služby KPI úèetního schématu
Acc. Sched. KPI Web Srv. Line	Øádek webové služby KPI úèetního schématu
License Agreement	Licenèní smlouva
Resource Group	Skupina zdrojù
Resource	Zdroj
Res. Capacity Entry	Položka kapacity zdrojù
Job	Projekt
Job Ledger Entry	Položka projektu
Standard Sales Code	Kód standardního prodeje
Standard Sales Line	Øádek standardního prodeje
Standard Customer Sales Code	Kód std.prodeje zákazníka
Standard Purchase Code	Kód standardního nákupu
Standard Purchase Line	Øádek standardního nákupu
Standard Vendor Purchase Code	Kód std.nákupu dodavatele
Reversal Entry	Položka storna
G/L Account Where-Used	Použití finanèního úètu
Work Type	Typ práce
Resource Price	Prodejní cena zdroje
Resource Cost	Poøizovací cena zdroje
Res. Ledger Entry	Položka zdroje
Unit of Measure	Mìrná jednotka
Resource Unit of Measure	Mìrná jednotka zdroje
Res. Journal Template	Šablona deníku zdrojù
Res. Journal Line	Øádek deníku zdrojù
Job Posting Group	Úèto skupina projektu
Job Journal Template	Šablona deníku projektù
Job Journal Line	Øádek deníku projektù
Job Posting Buffer	Zásobník pro úètování projektu
Business Unit	Úèetní jednotka
Gen. Jnl. Allocation	Deník rozdìlení
Ship-to Address	Adresa pøíjemce
Drop Shpt. Post. Buffer	Zásobník pøímých dodávek
Order Address	Adresa objednávky
Post Code	PSÈ
Source Code	Kód pùvodu
Reason Code	Kód pøíèiny
Gen. Journal Batch	List fin.deníku
Item Journal Batch	List deníku zboží
Res. Journal Batch	List deníku zdrojù
Job Journal Batch	List deníku projektù
Resource Register	Žurnál zdrojù
Job Register	Žurnál projektù
Source Code Setup	Nastavení kódù pùvodu
Req. Wksh. Template	Šablona sešitu požadavkù
Requisition Wksh. Name	Název sešitu požadavkù
Requisition Line	Øádek požadavkù
Gen. Business Posting Group	Obecná obchodní úèto skupina
Gen. Product Posting Group	Obecná úèto skupina zboží
General Posting Setup	Nastavení obecného úètování
G/L Entry - VAT Entry Link	Vìcná položka - odkaz na položku DPH
VAT Entry	DPH položka
VAT Statement Template	Šablona výkazu DPH
VAT Statement Line	Øádek výkazu DPH
VAT Statement Name	Název výkazu DPH
Transaction Type	Typ transakce
Transport Method	Typ pøepravy
Tariff Number	Èíslo sazebníku
Intrastat Jnl. Template	Šablona deníku Intrastat
Intrastat Jnl. Batch	List deníku Intrastat
Intrastat Jnl. Line	Øádek deníku Intrastat
Currency Amount	Èástka mìny
Document Entry	Položka dokladu
Customer Amount	Èástka zákazníka
Vendor Amount	Èástka dodavatele
Item Amount	Èástka zboží
G/L Account Net Change	Pohyb na úètu
Bank Account	Bankovní úèet
Bank Account Ledger Entry	Položka bankovního úètu
Check Ledger Entry	Položka šeku
Bank Acc. Reconciliation	Odsouhlasení bankovního úètu
Bank Acc. Reconciliation Line	Øádek odsouhlasení bank.úètu
Bank Account Statement	Výpis bankovního úètu
Bank Account Statement Line	Øádek pøíkazu bankovního úètu
Bank Account Posting Group	Úèto skupina bankovního úètu
Job Journal Quantity	Deník množství projektu
Extended Text Header	Hlavièka rozšíøeného textu
Extended Text Line	Øádek rozšíøeného textu
Phys. Inventory Ledger Entry	Položka fyzické inventury
Entry/Exit Point	Místo pøechodu
Line Number Buffer	Zásobník èísel øádkù
Area	Oblast
Transaction Specification	Specifikace transakce
Territory	Teritorium
Customer Bank Account	Bankovní úèet zákazníka
Vendor Bank Account	Bankovní úèet dodavatele
Payment Method	Zpùsob platby
VAT Amount Line	Øádek èástky DPH
Shipping Agent	Pøepravce
Reminder Terms	Podmínky upomínky
Reminder Level	Úroveò upomínky
Reminder Text	Text upomínky
Reminder Header	Hlavièka upomínky
Reminder Line	Øádek upomínky
Issued Reminder Header	Hlavièka vydané upomínky
Issued Reminder Line	Øádek vydané upomínky
Reminder Comment Line	Øádek poznámky upomínky
Reminder/Fin. Charge Entry	Položka upomínky/penále
Finance Charge Text	Text penále
Finance Charge Memo Header	Hlavièka penále
Finance Charge Memo Line	Øádek penále
Issued Fin. Charge Memo Header	Hlavièka vydaného penále
Issued Fin. Charge Memo Line	Øádek vydaného penále
Fin. Charge Comment Line	Øádek poznámky penále
Inventory Buffer	Zásobník zboží
No. Series	Èíselná øada
No. Series Line	Øádek èíselné øady
No. Series Relationship	Vztah èíselné øady
Sales & Receivables Setup	Nastavení prodeje a pohledávek
Purchases & Payables Setup	Nastavení nákupu a závazkù
Inventory Setup	Nastavení zásob
Resources Setup	Nastavení zdrojù
Jobs Setup	Nastavení projektù
Payable Vendor Ledger Entry	Splatná položka dodavatele
Tax Area	Daòová oblast
Tax Area Line	Øádek daòové oblasti
Tax Jurisdiction	Daòový pøedpis
Tax Group	Daòová skupina
Tax Detail	Daòový detail
VAT Business Posting Group	Obchodní DPH úèto skupina
VAT Product Posting Group	DPH úèto skupina zboží
VAT Posting Setup	Nastavení úètování DPH
Currency for Fin. Charge Terms	Mìna pro podmínky penále
Currency for Reminder Level	Mìna pro úroveò upomínky
Currency Exchange Rate	Smìnný kurz
Adjust Exchange Rate Buffer	Zásobník úpravy sm.kurzu
Currency Total Buffer	Zásobník mìny celkem
Column Layout Name	Název rozložení sloupce
Column Layout	Rozložení sloupce
Resource Price Change	Zmìna ceny zdroje
Tracking Specification	Specifikace sledování
Reservation Entry	Položka rezervace
Entry Summary	Souhrn položek
Item Application Entry	Položka vyrovnání zboží
Customer Discount Group	Skupina slev zákazníka
Item Discount Group	Skupina slev zboží
Acc. Sched. Cell Value	Hodnota buòky úè.schéma
Item Application Entry History	Historie položek vyrovnání zboží
Close Income Statement Buffer	Zásobník uzavøení výsledovky
Dimension	Dimenze
Dimension Value	Hodnota dimenze
Dimension Combination	Kombinace dimenzí
Dimension Value Combination	Kombinace hodnoty dimenze
Default Dimension	Výchozí dimenze
Dimension ID Buffer	Zásobník ID dimenze
Default Dimension Priority	Výchozí priorita dimenze
Dimension Buffer	Zásobník dimenze
Analysis View	Pohled analýzy
Analysis View Filter	Filtr pohledu analýzy
Analysis View Entry	Položka pohledu analýzy
Analysis View Budget Entry	Pol.rozpoètu pohledu analýzy
Dimension Code Buffer	Zásobník kódù dimenze
Dimension Selection Buffer	Zásobník výbìru dimenze
Selected Dimension	Vybraná dimenze
Excel Buffer	Zásobník aplikace Excel
Budget Buffer	Zásobník rozpoètu
Payment Buffer	Zásobník plateb
Dimension Entry Buffer	Zásobník položky dimenze
G/L Acc. Budget Buffer	Zásobník rozpoètu fin.úètu
Dimension Code Amount Buffer	Zásobník èástky kódu dimenze
G/L Account (Analysis View)	Fin.úèet (pohled analýzy)
Object Translation	Pøeklad objektu
Report List Translation	Pøeklad seznamu sestav
Detailed Cust. Ledg. Entry	Detailní položka zákazníka
Detailed Vendor Ledg. Entry	Detailní položka dodavatele
VAT Registration No. Format	Formát DIÈ
CV Ledger Entry Buffer	Zásobník položek zákazníka/dodavatele
Detailed CV Ledg. Entry Buffer	Zásobník detailní položky zák./dodav.
Reconcile CV Acc Buffer	Zásobník odsouhl. pol. zák./dodav.
Entry No. Amount Buffer	Zásobník èástky pol.è.
Dimension Translation	Pøeklad dimenze
Availability at Date	Dostupnost k datu
XBRL Taxonomy	Taxonomie XBRL
